dataset,columna,tipo_dato,tipo_variable,n_filas,nulos_iniciales,pct_nulos_iniciales,invalidos_tipo_faltante,pct_invalidos_tipo_faltante,min_cuantitativa,max_cuantitativa,n_labels_categorica,comentario_usabilidad_calidad
df_raw_airbnb_norm,sauna,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,laundry,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,cochera,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,camaras_seguridad,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,portero,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,aire_acondicionado,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,calefaccion,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,losa_radiante,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,internet,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,vista,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,zona_trabajo,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,permite_mascotas,bool,cuantitativa,9596,0,0.0,0,0.0,False,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,amoblado,bool,cuantitativa,9596,0,0.0,0,0.0,True,True,,alta: utilizable para análisis inicial
df_raw_airbnb_norm,localidad,str,categorica/texto/fecha,9596,0,0.0,0,0.0,,,1.0,alta: utilizable para análisis inicial
df_raw_airbnb_norm,provincia,str,categorica/texto/fecha,9596,0,0.0,0,0.0,,,1.0,alta: utilizable para análisis inicial
df_raw_airbnb_norm,pais,str,categorica/texto/fecha,9596,0,0.0,0,0.0,,,1.0,alta: utilizable para análisis inicial
df_raw_airbnb_norm,_archivo_origen,str,categorica/texto/fecha,9596,0,0.0,0,0.0,,,1.0,alta: utilizable para análisis inicial
df_raw_argenprop,descripcion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,estado_publicacion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,fecha_publicacion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,inmobiliaria,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,seller_id,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,unidad,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,barrio,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
