dataset,variable_categorica,label,n_registros,variable_faltante,pct_faltante
df_preprocesado_meli_alq_temp,barrio_norm,san telmo,236,es_rango_ambientes_is_null,2.12
df_preprocesado_meli_alq_temp,barrio_norm,san telmo,236,ambientes_max_is_null,2.12
df_preprocesado_meli_alq_temp,barrio_norm,san telmo,236,ambientes_min_is_null,2.12
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,inmobiliaria_is_null,88.79
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,altura_is_null,28.97
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,ambientes_ref_is_null,1.4
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,es_rango_ambientes_is_null,1.4
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,ambientes_max_is_null,1.4
df_preprocesado_meli_alq_temp,barrio_norm,nunez,214,ambientes_min_is_null,1.4
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,inmobiliaria_is_null,88.17
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,altura_is_null,23.66
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,ambientes_ref_is_null,2.15
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,es_rango_ambientes_is_null,2.15
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,ambientes_max_is_null,2.15
df_preprocesado_meli_alq_temp,barrio_norm,caballito,186,ambientes_min_is_null,2.15
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,inmobiliaria_is_null,92.61
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,altura_is_null,26.7
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,ambientes_ref_is_null,5.68
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,es_rango_ambientes_is_null,5.68
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,ambientes_max_is_null,5.68
df_preprocesado_meli_alq_temp,barrio_norm,monserrat,176,ambientes_min_is_null,5.68
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,inmobiliaria_is_null,84.0
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,altura_is_null,28.0
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,ambientes_ref_is_null,0.57
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,es_rango_ambientes_is_null,0.57
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,ambientes_max_is_null,0.57
df_preprocesado_meli_alq_temp,barrio_norm,retiro,175,ambientes_min_is_null,0.57
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,inmobiliaria_is_null,87.43
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,altura_is_null,22.29
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,ambientes_ref_is_null,5.14
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,es_rango_ambientes_is_null,5.14
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,ambientes_max_is_null,5.14
df_preprocesado_meli_alq_temp,barrio_norm,villa crespo,175,ambientes_min_is_null,5.14
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,inmobiliaria_is_null,83.55
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,altura_is_null,22.37
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,ambientes_ref_is_null,3.29
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,es_rango_ambientes_is_null,3.29
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,ambientes_max_is_null,3.29
df_preprocesado_meli_alq_temp,barrio_norm,balvanera,152,ambientes_min_is_null,3.29
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,inmobiliaria_is_null,86.26
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,altura_is_null,25.95
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,ambientes_ref_is_null,4.58
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,es_rango_ambientes_is_null,4.58
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,ambientes_max_is_null,4.58
df_preprocesado_meli_alq_temp,barrio_norm,colegiales,131,ambientes_min_is_null,4.58
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,inmobiliaria_is_null,92.71
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,altura_is_null,15.62
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,ambientes_ref_is_null,5.21
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,es_rango_ambientes_is_null,5.21
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,ambientes_max_is_null,5.21
df_preprocesado_meli_alq_temp,barrio_norm,villa urquiza,96,ambientes_min_is_null,5.21
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,inmobiliaria_is_null,85.39
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,altura_is_null,13.48
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,ambientes_ref_is_null,7.87
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,es_rango_ambientes_is_null,7.87
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,ambientes_max_is_null,7.87
df_preprocesado_meli_alq_temp,barrio_norm,san cristobal,89,ambientes_min_is_null,7.87
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,inmobiliaria_is_null,86.25
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,altura_is_null,10.0
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,comuna_is_null,100.0
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,ambientes_ref_is_null,2.5
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,es_rango_ambientes_is_null,2.5
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,ambientes_max_is_null,2.5
df_preprocesado_meli_alq_temp,barrio_norm,las canitas,80,ambientes_min_is_null,2.5
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,inmobiliaria_is_null,89.71
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,altura_is_null,20.59
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,ambientes_ref_is_null,7.35
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,es_rango_ambientes_is_null,7.35
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,ambientes_max_is_null,7.35
df_preprocesado_meli_alq_temp,barrio_norm,chacarita,68,ambientes_min_is_null,7.35
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,inmobiliaria_is_null,96.36
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,altura_is_null,21.82
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,comuna_is_null,0.0
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,ambientes_ref_is_null,1.82
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,es_rango_ambientes_is_null,1.82
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,ambientes_max_is_null,1.82
df_preprocesado_meli_alq_temp,barrio_norm,villa devoto,55,ambientes_min_is_null,1.82
df_preprocesado_meli_alq_temp,barrio_norm,coghlan,51,inmobiliaria_is_null,84.31
df_preprocesado_meli_alq_temp,barrio_norm,coghlan,51,altura_is_null,17.65
df_preprocesado_meli_alq_temp,barrio_norm,coghlan,51,comuna_is_null,0.0
