dataset,columna,n_labels_incluyendo_na,top_10_labels
df_raw_airbnb_norm,internet,2,True: 9489 | False: 107
df_raw_airbnb_norm,vista,2,False: 8301 | True: 1295
df_raw_airbnb_norm,zona_trabajo,2,True: 5627 | False: 3969
df_raw_airbnb_norm,permite_mascotas,2,False: 7564 | True: 2032
df_raw_airbnb_norm,fuente,1,Airbnb: 9596
df_raw_airbnb_norm,tipo_operacion,1,alquiler temporal: 9596
df_raw_airbnb_norm,unidad_precio,1,por_noche_2_huespedes_5_noches: 9596
df_raw_airbnb_norm,room_type,1,Entire home/apt: 9596
df_raw_airbnb_norm,categoria_alojamiento,1,vivienda_entera: 9596
df_raw_airbnb_norm,es_vivienda,1,True: 9596
df_raw_airbnb_norm,precio_regimen,1,mensual: 9596
df_raw_airbnb_norm,moneda,1,USD: 9596
df_raw_airbnb_norm,amoblado,1,True: 9596
df_raw_airbnb_norm,localidad,1,Ciudad Autónoma de Buenos Aires: 9596
df_raw_airbnb_norm,provincia,1,CABA: 9596
df_raw_airbnb_norm,pais,1,Argentina: 9596
df_raw_airbnb_norm,_archivo_origen,1,data\raw\airbnb\airbnb_caba_normalizado_mensual.csv: 9596
df_raw_argenprop,property_id,162,e197e9f1c643db6d77d3: 1 | c6d712804e8920b7c44a: 1 | 30c011d5c7b29cc7d1b4: 1 | 005063ed8b36c3914daa: 1 | be6b436761c9e7ea7525: 1 | 0ae96622ea5e34dbf889: 1 | 4081adc26b2894d7a1bf: 1 | 517e2fae5c2dbcbf988a: 1 | 525444132d09afda30ab: 1 | edfa9e851f65c8a047a2: 1
df_raw_argenprop,url,162,https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-chico-2-ambientes--19974218: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-chico-4-ambientes--10043598: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19871596: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--19829078: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--19548301: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19622671: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-3-ambientes--20075391: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--19344625: 1 | https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-4-ambientes--9070214: 1
df_raw_argenprop,scraped_at_utc,162,2026-08-15T23:56:14.395650+00:00: 1 | 2026-08-15T23:56:14.405039+00:00: 1 | 2026-08-15T23:56:14.413241+00:00: 1 | 2026-08-15T23:56:14.420875+00:00: 1 | 2026-08-15T23:56:14.429637+00:00: 1 | 2026-08-15T23:56:14.437620+00:00: 1 | 2026-08-15T23:56:14.446256+00:00: 1 | 2026-08-15T23:56:14.455503+00:00: 1 | 2026-08-15T23:56:14.464400+00:00: 1 | 2026-08-15T23:56:14.472675+00:00: 1
df_raw_argenprop,imagen_principal,162,https://www.argenprop.com/static-content/32499781/e0063af1-49cc-48e2-b1f3-27eb92fa9aaa_u_small.jpg: 1 | https://www.argenprop.com/static-content/81247991/3393d3b7-6920-45d3-82a0-e6c1d83bc828_u_small.jpg: 1 | https://www.argenprop.com/static-content/89534001/abc6b317-36eb-48cc-b317-ad0e7f8f330c_u_small.jpg: 1 | https://www.argenprop.com/static-content/69517891/723a95de-b089-495c-94df-b2c233adc643_u_small.jpg: 1 | https://www.argenprop.com/static-content/87092891/388fe324-b55c-4dac-8723-19b784652e49_u_small.jpg: 1 | https://www.argenprop.com/static-content/10384591/93932b9b-67fa-4e76-ba37-b24f3e7923ae_u_small.jpg: 1 | https://www.argenprop.com/static-content/17622691/ef206135-fced-4578-b138-0a79a30800f4_u_small.jpg: 1 | https://www.argenprop.com/static-content/19357002/82408874-0400-46a2-bbe6-145a5e90ac4d_u_small.jpg: 1 | https://www.argenprop.com/static-content/52644391/41b2eade-ae28-42b8-bf7c-8d29abd0873a_u_small.jpg: 1 | https://www.argenprop.com/static-content/4120709/f2504496-303d-4
df_raw_argenprop,atributos_extra_json,162,"{""texto_tarjeta"": ""+ 38 Ver más fotos 1 /46 Visto 72.002 USD 2.400.000 &plus; $2.200.000 expensas Jerónimo Salguero 2700 Departamento en Venta en Palermo Chico, Palermo 300 m² cubie. 3 dorm. 17 años TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO! “Torre bellini” de revista! Impecable piso muy alto! Balcón con espectacular vista panorámica a la ciudad y al río! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! Todo a nuevo! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 master suite con 2 vestidores! 1 dormitorio en suite! 1 dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full amenities: piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax,"
df_raw_argenprop,precio_texto,157,USD 225.000 + $550.000 expensas: 2 | USD 87.000 + $162.600 expensas: 2 | USD 115.000 + $260.000 expensas: 2 | $ 680.000 + $130.000 expensas: 2 | $ 850.000: 2 | USD 2.400.000 + $2.200.000 expensas: 1 | USD 175.000 + $250.000 expensas: 1 | USD 800.000: 1 | USD 229.000: 1 | USD 135.000 + $124.000 expensas: 1
df_raw_argenprop,direccion_completa,156,"Jerónimo Salguero 2700: 2 | Sánchez De Bustamante 2600: 2 | Viamonte 1800, Piso 3: 2 | Fitz Roy 1400, Piso 7: 2 | Charcas 4000, Piso 3: 2 | Amenábar 1600, Piso 1: 2 | Juan Francisco Seguí 3900: 1 | República Árabe Siria 3100, Piso 1: 1 | Jorge Luis Borges 2100, Piso 2: 1 | Santa Rosa 5100: 1"
df_raw_argenprop,titulo,154,"IMPECABLE SEMIPISO! BALCÓN AL PULMÓN C/VISTA ABIERTA! Todo luz y sol! Doble circulación! Baulera! ÚNICO! OPORT!: 2 | 2 Ambientes 47m2 Facultad de Medicina: 2 | 1, 2 y 3 ambientes: 2 | Departamento 2 ambientes Venta - Villa Urquiza: 2 | Departamento en edificio Premium: Green House, Amenities, microcine, dos piscinas, balcon aterrazado al contrafrente, vista arbolada. Aquí el Departamento:: 2 | Maravilloso Dos Ambientes con Balcón Aterrazado en Palermo: 2 | AMOBLADO. ALQUILER: $ 680.000 ó U$S 480. Expensas: $ 130.000.: 2 | 5 AMBIENTES, TERRAZA, COCHERA CAMIONETA 4 X 4, todo al frente, Subte D, baulera, parrilla, apto mascotas: 2 | TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 2 Coch! ÚNICO!: 1 | IMPECABLE 2 AMBIENTES! ESPECTACULAR PATIO PROPIO CON JARDÍN! Todo a nuevo! Muy luminoso! ÚNICO! OPORT!: 1"
df_raw_argenprop,calle,119,Avenida Santa Fe: 5 | Charcas: 5 | Honduras: 4 | Jerónimo Salguero: 3 | Sánchez De Bustamante: 3 | Avenida Corrientes: 3 | Blanco Encalada: 3 | Avenida Olazábal: 3 | Billinghurst: 3 | Arévalo: 2
df_raw_argenprop,piso,28,<NA>: 69 | 3: 13 | 7: 11 | 1: 9 | 2: 8 | 6: 8 | 5: 5 | 4: 5 | 8: 4 | acheco: 3
df_raw_argenprop,expensas_texto,11,<NA>: 151 | expensas $162.500: 2 | expensas $124.000: 1 | expensas $320.000: 1 | expensas $126.000: 1 | Expensas 30.000: 1 | expensas $ 260.000: 1 | expensas $215.000: 1 | expensas 400: 1 | expensas 3: 1
df_raw_argenprop,search_url,2,https://www.argenprop.com/departamentos/venta/capital-federal: 82 | https://www.argenprop.com/departamentos/alquiler/capital-federal: 80
df_raw_argenprop,tipo_operacion,2,venta: 82 | alquiler: 80
df_raw_argenprop,moneda,2,USD: 96 | ARS: 66
df_raw_argenprop,expensas_moneda,2,<NA>: 154 | ARS: 8
df_raw_argenprop,fuente,1,Argenprop: 162
df_raw_argenprop,parse_warnings,1,modo_listado_sin_ficha_detallada: 162
df_raw_argenprop,tipo_propiedad,1,departamento: 162
df_raw_argenprop,_archivo_origen,1,data\raw\argenprop\propiedades_argenprop.csv: 162
df_raw_meli_alq,scraped_at_utc,11479,2026-09-03T16:45:14.494669+00:00: 1 | 2026-09-03T16:45:14.496463+00:00: 1 | 2026-09-03T16:45:14.497158+00:00: 1 | 2026-09-03T16:45:14.497799+00:00: 1 | 2026-09-03T16:45:14.498422+00:00: 1 | 2026-09-03T16:45:14.499041+00:00: 1 | 2026-09-03T16:45:14.499653+00:00: 1 | 2026-09-03T16:45:14.500275+00:00: 1 | 2026-09-03T16:45:14.500893+00:00: 1 | 2026-09-03T16:45:14.501494+00:00: 1
df_raw_meli_alq,texto_tarjeta,9989,"PUBLICADO ESTA SEMANA Departamento en alquiler Departamento En Alquiler En Puerto Madero GET Propiedades US$ 8.000 5 ambs. 3 baños 260 m² cubiertos Lanteri Al 1200, Puerto Madero, Puerto Madero, Capital Federal Destacado: 6 | PUBLICADO ESTA SEMANA Departamento en alquiler Alquiler 2 Amb. En Colegiales Amoblado Con Cochera Y Amenities US$ 1.400 2 ambs. 1 baño 39 m² cubiertos Gregoria Pérez Al 3200, Colegiales, Capital Federal: 6 | Departamento en alquiler Departamento - Villa Crespo $ 600.000 17 m² cubiertos Departamento En Alquiler Aguirre Al 100, Villa Crespo, Capital Federal: 5 | Departamento en alquiler Excelente 3 Ambientes - Villa Crespo $ 1.400.000 3 ambs. 2 baños 67 m² cubiertos Vera 200, 4° Piso, Villa Crespo, Capital Federal: 5 | Departamento en alquiler Departamento Amoblado - Palermo Reynolds Propiedades $ 690.000 1 amb. 1 baño 30 m² cubiertos Paraguay Al 3400, Palermo, Capital Federal Destacado: 4 | Departamento en alquiler Alquiler - 4 Ambientes - Cochera - Seguridad - Ame"
df_raw_meli_alq,url,9896,https://departamento.mercadolibre.com.ar/MLA-3906770142-alquiler-nunez-2-ambientes-con-balcon-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-3907705666-palacio-bellini-3-dormitorios-2-banos-toilette-cochera-pileta-gimnasio-sum-spa-palermo-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-3908849774-alquiler-torre-jaramillo-nunez-2-dormitorios-2-banos-completos-vigilancia-24hs-cochera-amenities-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-3899677810-departamento-en-venta-o-alquiler-en-villa-crespo-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-2051666689-3-dormitorios-2-cocheras-luminoso-pileta-balcon-con-parrilla-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-3903235206-departamento-en-alquiler-3-ambientes-con-terraza-en-belgrano-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-3907341824-alquiler-de-semipiso-con-vista-4-ambientes-2-cocheras-torre-de-gelly-palermo-chico-caba-_JM: 2 | https://departamento.mercadolibre.com.ar/MLA-3488353260-departam
