,precio,precio_m2_ref,superficie_ref_m2,superficie_total_m2,superficie_cubierta_m2,ambientes_ref,ambientes,dormitorios_ref,dormitorios,banios_ref,banios,cantidad_imagenes
superficie_cubierta_m2_is_null,0.03285447230805693,0.04833033740039874,-0.021061179215552804,-0.021061179215552804,,-0.0500825753441127,-0.0500825753441127,-0.02694346336518607,-0.02694346336518607,-0.025803807153107972,-0.025803807153107972,0.054512067049740875
cocheras_is_null,-0.08819117363344088,0.09027992705158684,-0.3223814641605389,-0.3223814641605389,-0.23500074079128658,-0.22727492761441626,-0.22727492761441626,-0.18454959779020857,-0.18454959779020857,-0.38832651464170526,-0.38832651464170526,0.006028401130678702
piso_is_null,-0.018215676179664308,0.09560816165336641,-0.08548958834103335,-0.08548958834103335,0.2697118613852677,-0.01210226940957272,-0.01210226940957272,-0.01688016950697572,-0.01688016950697572,-0.10357597493582567,-0.10357597493582567,0.004222407585924782
expensas_texto_is_null,-0.06421903327730683,-0.18885562454473276,0.08083271064050822,0.08083271064050822,-0.2594121164649136,-0.012439333961809683,-0.012439333961809683,0.002774165763535906,0.002774165763535906,0.001940768196475492,0.001940768196475492,0.018231626598883655
expensas_is_null,-0.06421903327730683,-0.18885562454473276,0.08083271064050822,0.08083271064050822,-0.2594121164649136,-0.012439333961809683,-0.012439333961809683,0.002774165763535906,0.002774165763535906,0.001940768196475492,0.001940768196475492,0.018231626598883655
dormitorios_ref_is_null,-0.05990083842627769,0.13934506709781871,-0.1525983981603957,-0.1525983981603957,-0.31895198128800273,-0.3957636997690459,-0.3957636997690459,,,-0.26874289223579145,-0.26874289223579145,0.1349401288142962
dormitorios_is_null,-0.05990083842627769,0.13934506709781871,-0.1525983981603957,-0.1525983981603957,-0.31895198128800273,-0.3957636997690459,-0.3957636997690459,,,-0.26874289223579145,-0.26874289223579145,0.1349401288142962
banios_is_null,-0.06723080163350846,-0.1143205824300393,0.2253233541721433,0.2253233541721433,-0.13242787300830708,0.1457339226046881,0.1457339226046881,0.25677275311435804,0.25677275311435804,,,0.18397892102908917
banios_ref_is_null,-0.06723080163350846,-0.1143205824300393,0.2253233541721433,0.2253233541721433,-0.13242787300830708,0.1457339226046881,0.1457339226046881,0.25677275311435804,0.25677275311435804,,,0.18397892102908917
