dataset,variable_categorica,label,n_registros,variable_faltante,pct_faltante
df_preprocesado_zonaprop,barrio_norm,las canitas,31,cocheras_is_null,90.32
df_preprocesado_zonaprop,barrio_norm,las canitas,31,piso_is_null,0.0
df_preprocesado_zonaprop,barrio_norm,las canitas,31,expensas_texto_is_null,35.48
df_preprocesado_zonaprop,barrio_norm,las canitas,31,expensas_is_null,35.48
df_preprocesado_zonaprop,barrio_norm,las canitas,31,dormitorios_ref_is_null,16.13
df_preprocesado_zonaprop,barrio_norm,las canitas,31,dormitorios_is_null,16.13
df_preprocesado_zonaprop,barrio_norm,las canitas,31,banios_is_null,3.23
df_preprocesado_zonaprop,barrio_norm,las canitas,31,banios_ref_is_null,3.23
df_preprocesado_zonaprop,barrio_norm,retiro,30,superficie_cubierta_m2_is_null,93.33
df_preprocesado_zonaprop,barrio_norm,retiro,30,cocheras_is_null,96.67
df_preprocesado_zonaprop,barrio_norm,retiro,30,piso_is_null,100.0
df_preprocesado_zonaprop,barrio_norm,retiro,30,expensas_texto_is_null,20.0
df_preprocesado_zonaprop,barrio_norm,retiro,30,expensas_is_null,20.0
df_preprocesado_zonaprop,barrio_norm,retiro,30,dormitorios_ref_is_null,13.33
df_preprocesado_zonaprop,barrio_norm,retiro,30,dormitorios_is_null,13.33
df_preprocesado_zonaprop,barrio_norm,retiro,30,banios_is_null,0.0
df_preprocesado_zonaprop,barrio_norm,retiro,30,banios_ref_is_null,0.0
