,ambientes_is_null,ambientes_ref_is_null,expensas_moneda_is_null,precio_m2_calculado_is_null,precio_m2_ref_is_null,superficie_ref_m2_is_null,superficie_total_m2_is_null,banios_is_null,banios_ref_is_null,expensas_is_null,expensas_texto_is_null,piso_is_null,dormitorios_is_null,dormitorios_ref_is_null,cocheras,expensas
ambientes_is_null,1.0,1.0,0.16116459280507608,-0.01606645980340269,-0.016066459803402672,-0.016066459803402672,-0.016066459803402672,-0.026352313834736487,-0.026352313834736487,0.08675014118596962,0.08675014118596962,0.10592542826647515,0.3529570626854762,0.3529570626854762,1.0,-0.6804381667866358
ambientes_ref_is_null,1.0,1.0,0.16116459280507608,-0.01606645980340269,-0.01606645980340269,-0.01606645980340269,-0.01606645980340269,-0.026352313834736504,-0.026352313834736487,0.08675014118596962,0.08675014118596962,0.10592542826647515,0.3529570626854762,0.3529570626854762,1.0,-0.6804381667866358
expensas_moneda_is_null,0.16116459280507608,0.16116459280507608,1.0,0.06732295575289715,0.06732295575289715,0.06732295575289715,0.06732295575289715,-0.031852949464851656,-0.031852949464851656,0.8444554912731873,0.8444554912731873,0.13870535667844183,0.10642846821135712,0.10642846821135712,,-0.8263663211579356
precio_m2_calculado_is_null,-0.01606645980340269,-0.01606645980340269,0.06732295575289715,1.0,1.0,1.0,1.0,-0.3302429449429068,-0.3302429449429068,0.07972350994058212,0.07972350994058212,-0.02467677621332219,0.0991470190096802,0.0991470190096802,,
precio_m2_ref_is_null,-0.016066459803402672,-0.01606645980340269,0.06732295575289715,1.0,1.0,1.0,1.0,-0.33024294494290685,-0.3302429449429068,0.07972350994058212,0.07972350994058212,-0.02467677621332216,0.0991470190096802,0.0991470190096802,,
superficie_ref_m2_is_null,-0.016066459803402672,-0.01606645980340269,0.06732295575289715,1.0,1.0,1.0,1.0,-0.33024294494290685,-0.3302429449429068,0.07972350994058212,0.07972350994058212,-0.02467677621332216,0.0991470190096802,0.0991470190096802,,
superficie_total_m2_is_null,-0.016066459803402672,-0.01606645980340269,0.06732295575289715,1.0,1.0,1.0,1.0,-0.33024294494290685,-0.3302429449429068,0.07972350994058212,0.07972350994058212,-0.02467677621332216,0.0991470190096802,0.0991470190096802,,
banios_is_null,-0.026352313834736487,-0.026352313834736504,-0.031852949464851656,-0.3302429449429068,-0.33024294494290685,-0.33024294494290685,-0.33024294494290685,1.0,1.0,0.005486560669776875,0.005486560669776875,0.04187070193135535,-0.4572607282573368,-0.4572607282573369,1.0,-0.21796620881703468
banios_ref_is_null,-0.026352313834736487,-0.026352313834736487,-0.031852949464851656,-0.3302429449429068,-0.3302429449429068,-0.3302429449429068,-0.3302429449429068,1.0,1.0,0.005486560669776875,0.005486560669776875,0.04187070193135535,-0.4572607282573368,-0.4572607282573369,1.0,-0.21796620881703468
expensas_is_null,0.08675014118596962,0.08675014118596962,0.8444554912731873,0.07972350994058212,0.07972350994058212,0.07972350994058212,0.07972350994058212,0.005486560669776875,0.005486560669776875,1.0,1.0,0.08362031730143929,0.1260320636329744,0.1260320636329744,,
expensas_texto_is_null,0.08675014118596962,0.08675014118596962,0.8444554912731873,0.07972350994058212,0.07972350994058212,0.07972350994058212,0.07972350994058212,0.005486560669776875,0.005486560669776875,1.0,1.0,0.08362031730143929,0.1260320636329744,0.1260320636329744,,
piso_is_null,0.10592542826647515,0.10592542826647515,0.13870535667844183,-0.02467677621332219,-0.02467677621332216,-0.02467677621332216,-0.02467677621332216,0.04187070193135535,0.04187070193135535,0.08362031730143929,0.08362031730143929,1.0,-0.07658331063110962,-0.07658331063110962,1.0,-0.58766202542635
dormitorios_is_null,0.3529570626854762,0.3529570626854762,0.10642846821135712,0.0991470190096802,0.0991470190096802,0.0991470190096802,0.0991470190096802,-0.4572607282573368,-0.4572607282573368,0.1260320636329744,0.1260320636329744,-0.07658331063110962,1.0,1.0,,
dormitorios_ref_is_null,0.3529570626854762,0.3529570626854762,0.10642846821135712,0.0991470190096802,0.0991470190096802,0.0991470190096802,0.0991470190096802,-0.4572607282573369,-0.4572607282573369,0.1260320636329744,0.1260320636329744,-0.07658331063110962,1.0,1.0,,
cocheras,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,
expensas,-0.6804381667866358,-0.6804381667866358,-0.8263663211579356,,,,,-0.21796620881703468,-0.21796620881703468,,,-0.58766202542635,,,,1.0
