,superficie_cubierta_m2_is_null,expensas_moneda_is_null,expensas_is_null,expensas_texto_is_null,banios_ref_is_null,banios_is_null,piso_is_null,ambientes_ref_is_null,ambientes_is_null,dormitorios_is_null,dormitorios_ref_is_null,precio_m2_calculado_is_null,precio_m2_ref_is_null,superficie_total_m2_is_null,superficie_ref_m2_is_null
superficie_cubierta_m2_is_null,1.0,-0.04843594796964819,-0.057357609098640926,-0.057357609098640926,-0.12898040432740485,-0.12898040432740485,-0.18532242326869247,0.021466939537054607,0.021466939537054607,0.0992330521639122,0.0992330521639122,0.06277138525369755,0.06277138525369755,0.06277138525369755,0.06277138525369755
expensas_moneda_is_null,-0.04843594796964819,1.0,0.8444554912731873,0.8444554912731873,-0.031852949464851656,-0.031852949464851656,0.13870535667844183,0.16116459280507608,0.16116459280507608,0.10642846821135712,0.10642846821135712,0.06732295575289715,0.06732295575289715,0.06732295575289715,0.06732295575289715
expensas_is_null,-0.057357609098640926,0.8444554912731873,1.0,1.0,0.005486560669776875,0.005486560669776875,0.08362031730143929,0.08675014118596962,0.08675014118596962,0.1260320636329744,0.1260320636329744,0.07972350994058212,0.07972350994058212,0.07972350994058212,0.07972350994058212
expensas_texto_is_null,-0.057357609098640926,0.8444554912731873,1.0,1.0,0.005486560669776875,0.005486560669776875,0.08362031730143929,0.08675014118596962,0.08675014118596962,0.1260320636329744,0.1260320636329744,0.07972350994058212,0.07972350994058212,0.07972350994058212,0.07972350994058212
banios_ref_is_null,-0.12898040432740485,-0.031852949464851656,0.005486560669776875,0.005486560669776875,1.0,1.0,0.041870701931355316,-0.026352313834736504,-0.026352313834736504,-0.4572607282573369,-0.4572607282573369,-0.33024294494290685,-0.33024294494290685,-0.33024294494290685,-0.33024294494290685
banios_is_null,-0.12898040432740485,-0.031852949464851656,0.005486560669776875,0.005486560669776875,1.0,1.0,0.041870701931355316,-0.026352313834736504,-0.026352313834736504,-0.4572607282573369,-0.4572607282573369,-0.33024294494290685,-0.33024294494290685,-0.33024294494290685,-0.33024294494290685
piso_is_null,-0.18532242326869247,0.13870535667844183,0.08362031730143929,0.08362031730143929,0.041870701931355316,0.041870701931355316,1.0,0.10592542826647515,0.10592542826647515,-0.07658331063110962,-0.07658331063110962,-0.02467677621332216,-0.02467677621332216,-0.02467677621332216,-0.02467677621332216
ambientes_ref_is_null,0.021466939537054607,0.16116459280507608,0.08675014118596962,0.08675014118596962,-0.026352313834736504,-0.026352313834736504,0.10592542826647515,1.0,1.0,0.3529570626854762,0.3529570626854762,-0.016066459803402672,-0.016066459803402672,-0.016066459803402672,-0.016066459803402672
ambientes_is_null,0.021466939537054607,0.16116459280507608,0.08675014118596962,0.08675014118596962,-0.026352313834736504,-0.026352313834736504,0.10592542826647515,1.0,1.0,0.3529570626854762,0.3529570626854762,-0.016066459803402672,-0.016066459803402672,-0.016066459803402672,-0.016066459803402672
dormitorios_is_null,0.0992330521639122,0.10642846821135712,0.1260320636329744,0.1260320636329744,-0.4572607282573369,-0.4572607282573369,-0.07658331063110962,0.3529570626854762,0.3529570626854762,1.0,1.0,0.0991470190096802,0.0991470190096802,0.0991470190096802,0.0991470190096802
dormitorios_ref_is_null,0.0992330521639122,0.10642846821135712,0.1260320636329744,0.1260320636329744,-0.4572607282573369,-0.4572607282573369,-0.07658331063110962,0.3529570626854762,0.3529570626854762,1.0,1.0,0.0991470190096802,0.0991470190096802,0.0991470190096802,0.0991470190096802
precio_m2_calculado_is_null,0.06277138525369755,0.06732295575289715,0.07972350994058212,0.07972350994058212,-0.33024294494290685,-0.33024294494290685,-0.02467677621332216,-0.016066459803402672,-0.016066459803402672,0.0991470190096802,0.0991470190096802,1.0,1.0,1.0,1.0
precio_m2_ref_is_null,0.06277138525369755,0.06732295575289715,0.07972350994058212,0.07972350994058212,-0.33024294494290685,-0.33024294494290685,-0.02467677621332216,-0.016066459803402672,-0.016066459803402672,0.0991470190096802,0.0991470190096802,1.0,1.0,1.0,1.0
superficie_total_m2_is_null,0.06277138525369755,0.06732295575289715,0.07972350994058212,0.07972350994058212,-0.33024294494290685,-0.33024294494290685,-0.02467677621332216,-0.016066459803402672,-0.016066459803402672,0.0991470190096802,0.0991470190096802,1.0,1.0,1.0,1.0
superficie_ref_m2_is_null,0.06277138525369755,0.06732295575289715,0.07972350994058212,0.07972350994058212,-0.33024294494290685,-0.33024294494290685,-0.02467677621332216,-0.016066459803402672,-0.016066459803402672,0.0991470190096802,0.0991470190096802,1.0,1.0,1.0,1.0
