,precio,precio_m2_ref,superficie_ref_m2,superficie_min_m2,superficie_max_m2,ambientes_ref,ambientes_min,ambientes_max,banios_ref,comuna,altura
inmobiliaria_is_null,0.07745395439285578,0.04900970944935339,-0.015010194810008223,-0.015010194810008223,-0.020600603500863887,0.02846136536270138,0.02846136536270138,0.02323665192775784,0.0019405311109971502,0.009536594001091525,-0.0019864554927686365
altura_is_null,-0.03826624472582994,0.011589449923617243,0.07038322512362143,0.07038322512362143,0.06966412784164554,0.020456873778124746,0.020456873778124746,0.020233273393876976,0.02047961842275499,-0.012765451723013672,
comuna_is_null,0.0008140675837245821,-0.0005842664699297053,0.002075227745245884,0.002075227745245884,0.00790737273866502,0.0018671066412610379,0.0018671066412610379,0.007820313159797117,0.0004993322503481266,,-0.03677811420309503
ambientes_ref_is_null,-0.030395031856744838,0.0713207436522339,-0.08162591381148675,-0.08162591381148675,-0.08198369087554597,,,,-0.030741370375904502,-0.0036439124174092656,0.03495210972297972
es_rango_ambientes_is_null,-0.030395031856744838,0.0713207436522339,-0.08162591381148675,-0.08162591381148675,-0.08198369087554597,,,,-0.030741370375904502,-0.0036439124174092656,0.03495210972297972
ambientes_max_is_null,-0.030395031856744838,0.0713207436522339,-0.08162591381148675,-0.08162591381148675,-0.08198369087554597,,,,-0.030741370375904502,-0.0036439124174092656,0.03495210972297972
ambientes_min_is_null,-0.030395031856744838,0.0713207436522339,-0.08162591381148675,-0.08162591381148675,-0.08198369087554597,,,,-0.030741370375904502,-0.0036439124174092656,0.03495210972297972
