,inmobiliaria_is_null,altura_is_null,comuna_is_null,ambientes_ref_is_null,es_rango_ambientes_is_null,ambientes_max_is_null,ambientes_min_is_null
inmobiliaria_is_null,1.0,-0.2234245887674033,-0.013034102819364802,0.05700629900433223,0.05700629900433223,0.05700629900433223,0.05700629900433223
altura_is_null,-0.2234245887674033,1.0,-0.02856265370019853,-0.055637915670706445,-0.055637915670706445,-0.055637915670706445,-0.055637915670706445
comuna_is_null,-0.013034102819364802,-0.02856265370019853,1.0,-0.023147557121857537,-0.023147557121857537,-0.023147557121857537,-0.023147557121857537
ambientes_ref_is_null,0.05700629900433223,-0.055637915670706445,-0.023147557121857537,1.0,1.0,1.0,1.0
es_rango_ambientes_is_null,0.05700629900433223,-0.055637915670706445,-0.023147557121857537,1.0,1.0,1.0,1.0
ambientes_max_is_null,0.05700629900433223,-0.055637915670706445,-0.023147557121857537,1.0,1.0,1.0,1.0
ambientes_min_is_null,0.05700629900433223,-0.055637915670706445,-0.023147557121857537,1.0,1.0,1.0,1.0
