,unidades_disponibles_is_null,posesion_is_null,estado_entrega_is_null,inmobiliaria_is_null,altura_is_null,banios_min_is_null,banios_ref_is_null,banios_max_is_null,comuna_is_null
unidades_disponibles_is_null,1.0,1.0,0.6243902280498913,0.1730286827834259,0.05018187192826537,0.020240003001970413,0.020240003001970413,0.020240003001970413,-0.04045754618610458
posesion_is_null,1.0,1.0,0.6243902280498913,0.1730286827834259,0.05018187192826537,0.020240003001970413,0.020240003001970413,0.020240003001970413,-0.04045754618610458
estado_entrega_is_null,0.6243902280498913,0.6243902280498913,1.0,0.11261428602534745,0.05497590939233502,0.01233575606488501,0.01233575606488501,0.01233575606488501,-0.01394976587247305
inmobiliaria_is_null,0.1730286827834259,0.1730286827834259,0.11261428602534745,1.0,-0.10265911915482315,-0.0033264316624279405,-0.0033264316624279405,-0.0033264316624279405,-0.030480751861442393
altura_is_null,0.05018187192826537,0.05018187192826537,0.05497590939233502,-0.10265911915482315,1.0,0.13114617389502323,0.13114617389502323,0.13114617389502323,0.012852300339740668
banios_min_is_null,0.020240003001970413,0.020240003001970413,0.01233575606488501,-0.0033264316624279405,0.13114617389502323,1.0,1.0,1.0,0.030600309183551083
banios_ref_is_null,0.020240003001970413,0.020240003001970413,0.01233575606488501,-0.0033264316624279405,0.13114617389502323,1.0,1.0,1.0,0.030600309183551083
banios_max_is_null,0.020240003001970413,0.020240003001970413,0.01233575606488501,-0.0033264316624279405,0.13114617389502323,1.0,1.0,1.0,0.030600309183551083
comuna_is_null,-0.04045754618610458,-0.04045754618610458,-0.01394976587247305,-0.030480751861442393,0.012852300339740668,0.030600309183551083,0.030600309183551083,0.030600309183551083,1.0
