,precio,precio_m2_ref,superficie_ref_m2,superficie_min_m2,superficie_max_m2,ambientes_ref,ambientes_min,ambientes_max,banios_ref,comuna,altura
inmobiliaria_is_null,0.017399799815911325,0.017258882720820896,-0.024555210291245445,-0.024555210291245445,-0.024555210291245445,-0.013713966170354454,-0.013713966170354454,-0.013713966170354454,-0.018019173895038678,0.00406936084321018,0.01368000026599897
altura_is_null,-0.01928623557296978,-0.019015100853797803,0.011173120018482106,0.011173120018482106,0.011173120018482106,-0.01793474708458386,-0.01793474708458386,-0.01793474708458386,0.01948773354983383,-0.03895360196205526,
ambientes_max_is_null,-0.014427367096619742,0.00985548636603604,-0.042864261411538755,-0.042864261411538755,-0.042864261411538755,,,,-0.03221346472091877,0.017422067395019076,0.01304311492203579
es_rango_ambientes_is_null,-0.014427367096619742,0.00985548636603604,-0.042864261411538755,-0.042864261411538755,-0.042864261411538755,,,,-0.03221346472091877,0.017422067395019076,0.01304311492203579
ambientes_ref_is_null,-0.014427367096619742,0.00985548636603604,-0.042864261411538755,-0.042864261411538755,-0.042864261411538755,,,,-0.03221346472091877,0.017422067395019076,0.01304311492203579
ambientes_min_is_null,-0.014427367096619742,0.00985548636603604,-0.042864261411538755,-0.042864261411538755,-0.042864261411538755,,,,-0.03221346472091877,0.017422067395019076,0.01304311492203579
