dataset,columna,tipo_dato,tipo_variable,n_filas,nulos_iniciales,pct_nulos_iniciales,invalidos_tipo_faltante,pct_invalidos_tipo_faltante,min_cuantitativa,max_cuantitativa,n_labels_categorica,comentario_usabilidad_calidad
df_raw_argenprop,seguridad_24h,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,vigilancia,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,aire_acondicionado,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,calefaccion,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,losa_radiante,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,gas_natural,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,agua_corriente,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,electricidad,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,cloaca,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,internet,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,vista_rio,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,vista_abierta,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,reciclado,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,a_refaccionar,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,video_url,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,tour_virtual_url,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,jsonld_raw,float64,cuantitativa,162,162,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,cocheras,float64,cuantitativa,162,159,98.15,0,0.0,1.0,2.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,superficie_cubierta_m2,float64,cuantitativa,162,155,95.68,0,0.0,31.47,200.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,expensas_moneda,str,categorica/texto/fecha,162,154,95.06,0,0.0,,,1.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,expensas,float64,cuantitativa,162,151,93.21,0,0.0,3.0,320000.0,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,expensas_texto,str,categorica/texto/fecha,162,151,93.21,0,0.0,,,10.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_argenprop,banios,float64,cuantitativa,162,90,55.56,0,0.0,1.0,90.0,,media-baja: requiere justificación antes de usar en KPIs
df_raw_argenprop,piso,str,categorica/texto/fecha,162,69,42.59,0,0.0,,,27.0,media-baja: requiere justificación antes de usar en KPIs
df_raw_argenprop,ambientes,float64,cuantitativa,162,54,33.33,0,0.0,1.0,5.0,,media: usable con controles y posible segmentación
df_raw_meli_alq,posesion,float64,cuantitativa,11479,11479,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,unidades_disponibles,float64,cuantitativa,11479,11479,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,parse_warnings,float64,cuantitativa,11479,11479,100.0,0,0.0,,,,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,estado_entrega,object,categorica/texto/fecha,11479,11478,99.99,0,0.0,,,1.0,baja: faltantes muy altos; usar solo como referencia secundaria
df_raw_meli_alq,precio_anterior,float64,cuantitativa,11479,11458,99.82,0,0.0,350.0,800000.0,,baja: faltantes muy altos; usar solo como referencia secundaria
