,precio,precio_m2_ref,superficie_ref_m2,superficie_min_m2,superficie_max_m2,ambientes_ref,ambientes_min,ambientes_max,banios_ref,comuna,altura
unidades_disponibles_is_null,0.004171528291680773,0.006453281599388262,0.0021466282946594186,0.0021466282946594186,-0.0010780413680506937,0.10336799925506829,0.10336799925506829,-0.05489039188817977,0.03230925980134229,-0.05845439680268365,-0.006737364236056353
posesion_is_null,0.004171528291680773,0.006453281599388262,0.0021466282946594186,0.0021466282946594186,-0.0010780413680506937,0.10336799925506829,0.10336799925506829,-0.05489039188817977,0.03230925980134229,-0.05845439680268365,-0.006737364236056353
estado_entrega_is_null,-0.020010670392089168,-0.024457182811768553,0.0025730123196164,0.0025730123196164,0.0005721271211748096,0.100797026335332,0.100797026335332,0.0041665452651030955,0.02374828116964878,-0.11805901713182747,-0.04427442868163191
inmobiliaria_is_null,-0.019925477888578867,-0.0036687295061796437,-0.009962738204238552,-0.009962738204238552,-0.010466381745099184,0.05629677870909695,0.05629677870909695,0.027887222720862005,-0.012873441217521755,-0.0705184498569067,0.0532662037143132
altura_is_null,0.0021960565503778683,-0.00066808012588211,-0.0024737491289387858,-0.0024737491289387858,-0.00260856640911512,-0.026272890598284124,-0.026272890598284124,-0.033851143249435174,0.039563023093015834,-0.0017154398324961578,
banios_min_is_null,-0.0015517025753553947,-0.0007158748386946246,-0.0008736795350208316,-0.0008736795350208316,-0.0009373217219729157,-0.036775536967462795,-0.036775536967462795,-0.04003157550115795,,-0.02156586092630618,0.00018210516241204974
banios_ref_is_null,-0.0015517025753553947,-0.0007158748386946246,-0.0008736795350208316,-0.0008736795350208316,-0.0009373217219729157,-0.036775536967462795,-0.036775536967462795,-0.04003157550115795,,-0.02156586092630618,0.00018210516241204974
banios_max_is_null,-0.0015517025753553947,-0.0007158748386946246,-0.0008736795350208316,-0.0008736795350208316,-0.0009373217219729157,-0.036775536967462795,-0.036775536967462795,-0.04003157550115795,,-0.02156586092630618,0.00018210516241204974
comuna_is_null,-0.008026783882087279,-0.0027649448334195487,-0.0012650738661534502,-0.0012650738661534502,-0.0011258510191707427,-0.023775961736794884,-0.023775961736794884,-0.01893401613335452,-0.023405032356728132,,-0.016611763205801607
